WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
294.6,33.48,0.0,1143.0,-7.2,446.73,446.73
294.6,24.92,2.5,1092.0,-6.3,446.73,437.88
307.3,19.38,12.7,1168.0,-1.7,437.88,468.61
309.9,41.96,2.5,1168.0,-0.7,468.61,476.46
309.9,46.79,0.0,1118.0,-1.9,476.46,448.08
315.0,15.42,5.1,1194.0,-2.1,448.08,462.24
315.0,22.62,0.0,1194.0,-4.6,462.24,419.38
325.1,36.54,10.2,1219.0,-8.6,419.38,429.74
350.5,28.42,22.9,1295.0,0.0,429.74,492.45
350.5,34.12,0.0,1321.0,0.6,492.45,629.87
350.5,57.54,0.0,1295.0,-2.2,629.87,588.81
350.5,56.71,0.0,1295.0,-6.8,588.81,487.79
350.5,82.12,0.0,1270.0,-9.5,487.79,429.21
345.4,83.25,0.0,1270.0,-10.4,429.21,422.83
345.4,79.46,0.0,1245.0,-11.0,422.83,431.18
345.4,42.96,0.0,1245.0,-4.2,431.18,444.96
355.6,32.88,7.6,1295.0,-1.3,444.96,480.62
360.7,23.58,5.1,1346.0,-1.7,480.62,424.9
370.8,31.58,7.6,1397.0,-1.5,424.9,309.79
370.8,34.21,0.0,1372.0,-3.4,309.79,298.92
370.8,84.75,0.0,1346.0,-6.6,298.92,416.55
381.0,21.79,12.7,1448.0,-5.2,416.55,442.04
391.2,79.67,10.2,1499.0,-4.1,442.04,488.67
391.2,92.62,0.0,1499.0,-7.1,488.67,489.35
391.2,66.88,2.5,1422.0,-2.7,489.35,379.39
391.2,80.58,0.0,1397.0,-2.7,379.39,371.63
391.2,100.08,0.0,1397.0,-0.4,371.63,365.46
386.1,98.83,0.0,1397.0,-8.1,365.46,349.36
383.5,105.33,0.0,1397.0,-11.1,349.36,405.31
386.1,56.04,0.0,1372.0,-8.6,405.31,414.75
386.1,36.71,0.0,1346.0,-2.9,414.75,410.56
419.1,32.67,25.4,1473.0,-0.2,410.56,417.55
421.6,70.67,5.1,1473.0,-0.1,417.55,416.73
424.2,52.92,2.5,1524.0,-2.4,416.73,360.01
421.6,71.46,0.0,1448.0,-9.1,360.01,325.85
421.6,58.0,0.0,1499.0,-10.8,325.85,300.63
421.6,63.58,0.0,1499.0,-13.5,300.63,423.72
424.2,93.33,0.0,1549.0,-16.3,423.72,505.28
429.3,79.71,5.1,1651.0,-10.7,505.28,505.54
429.3,82.04,0.0,1600.0,-16.9,505.54,447.73
429.3,106.5,0.0,1575.0,-17.3,447.73,267.79
436.9,73.04,7.6,1626.0,-12.5,267.79,219.58
477.5,48.75,35.6,1880.0,-5.6,219.58,246.19
475.0,53.88,0.0,1829.0,-7.4,246.19,371.07
485.1,82.88,7.6,1854.0,-6.7,371.07,448.44
490.2,47.62,5.1,1854.0,-3.6,448.44,493.04
490.2,37.08,0.0,1829.0,-4.8,493.04,413.6
492.8,119.5,5.1,1854.0,-9.0,413.6,382.39
492.8,59.92,0.0,1778.0,-12.9,382.39,367.0
495.3,82.08,0.0,1880.0,-10.0,367.0,419.38
495.3,123.46,0.0,1854.0,-10.2,419.38,458.32
492.8,115.42,0.0,1829.0,-9.8,458.32,484.81
502.9,66.46,7.6,1956.0,-8.9,484.81,439.56
502.9,78.75,0.0,1905.0,-9.3,439.56,360.42
500.4,154.29,0.0,1854.0,-12.6,360.42,321.66
500.4,129.29,0.0,1880.0,-12.6,321.66,319.66
500.4,167.67,0.0,1854.0,-14.5,319.66,374.22
505.5,83.62,2.5,1803.0,-7.6,374.22,402.36
513.1,63.62,7.6,1829.0,-6.8,402.36,407.76
513.1,119.88,3.8,1803.5,-10.05,407.76,422.61
513.1,176.12,0.0,1778.0,-13.3,422.61,437.47
513.1,187.17,0.0,1778.0,-15.1,437.47,340.6
513.1,187.25,0.0,1778.0,-11.2,340.6,356.17
513.1,165.96,2.5,1753.0,-6.1,356.17,430.77
515.6,70.5,5.1,1753.0,-2.9,430.77,420.53
518.2,62.46,0.0,1727.0,-5.4,420.53,328.37
518.2,88.0,0.0,1702.0,-6.2,328.37,276.8
518.2,81.58,0.0,1727.0,-7.8,276.8,257.58
518.2,147.71,0.0,1753.0,-9.9,257.58,254.91
525.8,152.17,2.5,1753.0,-6.7,254.91,263.12
551.2,84.54,25.4,1930.0,-2.8,263.12,274.83
548.6,160.71,0.0,1905.0,-3.5,274.83,282.34
548.6,99.21,0.0,1854.0,-6.9,282.34,401.15
548.6,182.75,0.0,1829.0,-4.0,401.15,421.92
548.6,187.62,2.5,1829.0,-2.5,421.92,426.05
548.6,213.58,0.0,1803.0,-0.4,426.05,351.19
546.1,222.58,0.0,1803.0,1.6,351.19,273.38
546.1,225.25,0.0,1753.0,1.8,273.38,256.1
546.1,227.46,0.0,1727.0,3.2,256.1,245.15
543.6,221.79,0.0,1702.0,3.4,245.15,244.47
543.6,229.67,0.0,1676.0,2.4,244.47,252.68
541.0,133.58,0.0,1651.0,2.1,252.68,231.03
551.2,133.42,5.1,1626.0,3.3,231.03,243.66
