WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
924.6,46.48,0.0,1346.0,-3.3,13.89,13.89
944.9,29.38,2.5,1346.0,-1.5,13.89,12.0
1038.9,16.88,48.3,1321.0,0.7,12.0,27.42
1031.2,33.42,17.8,1321.0,-0.9,27.42,52.09
1038.9,32.79,2.5,1321.0,-0.8,52.09,30.77
1066.8,27.29,12.7,1473.0,-3.9,30.77,21.41
1097.3,38.5,7.6,1549.0,-6.7,21.41,17.15
1117.6,35.33,17.8,1600.0,-3.2,17.15,14.42
1150.6,20.67,33.0,1727.0,0.9,14.42,15.89
1165.9,39.96,2.5,1651.0,0.7,15.89,23.66
1168.4,55.79,0.0,1626.0,1.7,23.66,20.23
1170.9,67.29,0.0,1600.0,4.0,20.23,17.21
1173.5,78.58,0.0,1575.0,6.6,17.21,15.04
1176.0,82.96,0.0,1575.0,8.4,15.04,14.05
1176.0,50.0,2.5,1575.0,3.2,14.05,13.34
1178.6,59.71,0.0,1549.0,0.2,13.34,11.94
1201.4,32.88,10.2,1600.0,0.2,11.94,11.13
1226.8,16.58,12.7,1651.0,-0.8,11.13,13.39
1270.0,17.5,12.7,1651.0,-1.1,13.39,16.31
1272.5,49.38,0.0,1676.0,-3.9,16.31,15.41
1272.5,53.62,0.0,1676.0,-5.9,15.41,13.5
1320.8,24.96,20.3,1829.0,-2.8,13.5,11.99
1336.0,65.12,7.6,1829.0,-0.1,11.99,13.98
1338.6,61.42,0.0,1803.0,-2.1,13.98,12.83
1338.6,38.92,0.0,1778.0,-2.0,12.83,11.16
1338.6,75.96,0.0,1778.0,2.8,11.16,10.0
1341.1,97.79,0.0,1753.0,3.4,10.0,9.54
1338.6,75.62,0.0,1753.0,0.3,9.54,9.02
1341.1,101.04,0.0,1753.0,2.9,9.02,8.37
1341.1,50.67,0.0,1727.0,3.9,8.37,8.07
1343.7,28.58,2.5,1702.0,3.8,8.07,7.74
1417.3,22.17,22.9,1702.0,0.2,7.74,12.04
1430.0,47.12,2.5,1676.0,-1.6,12.04,16.3
1445.3,21.17,5.1,1854.0,-8.2,16.3,13.62
1475.7,60.88,0.0,1803.0,-16.4,13.62,11.55
1483.4,111.96,0.0,1778.0,-13.6,11.55,9.55
1483.4,118.62,0.0,1753.0,-10.7,9.55,8.37
1485.9,97.0,2.5,1753.0,-6.5,8.37,7.68
1485.9,49.17,5.1,1803.0,-11.0,7.68,7.21
1485.9,76.12,0.0,1778.0,-14.3,7.21,6.75
1483.4,91.21,5.1,1803.0,-12.2,6.75,6.46
1506.2,70.96,17.8,2007.0,-9.6,6.46,6.33
1544.3,48.33,20.3,2210.0,-5.0,6.33,6.92
1554.5,115.0,5.1,2235.0,-5.8,6.92,6.95
1567.2,61.79,10.2,2261.0,-4.0,6.95,6.59
1577.3,84.96,5.1,2235.0,-3.3,6.59,6.57
1577.3,93.58,0.0,2210.0,-4.3,6.57,6.17
1577.3,128.79,0.0,2134.0,-6.3,6.17,5.77
1577.3,43.04,0.0,2134.0,-7.3,5.77,5.67
1587.5,95.0,5.1,2134.0,-5.8,5.67,5.74
1592.6,114.0,0.0,2159.0,-6.0,5.74,5.75
1592.6,150.04,0.0,2134.0,-6.6,5.75,5.5
1607.8,70.0,7.6,2184.0,-6.5,5.5,5.7
1610.4,83.75,0.0,2184.0,-5.8,5.7,5.74
1615.4,127.0,0.0,2159.0,-7.1,5.74,5.59
1630.7,162.92,0.0,2134.0,-10.8,5.59,5.29
1628.1,169.25,0.0,2108.0,-11.6,5.29,5.05
1610.4,101.38,0.0,2057.0,-6.7,5.05,4.95
1615.4,153.21,0.0,2083.0,-6.5,4.95,4.78
1620.5,151.58,0.0,2070.0,-6.55,4.78,4.69
1625.6,149.96,0.0,2057.0,-6.6,4.69,4.59
1628.1,163.58,0.0,2032.0,-8.4,4.59,4.42
1628.1,187.71,0.0,2032.0,-8.5,4.42,4.3
1633.2,101.12,0.0,2007.0,-6.0,4.3,4.32
1648.5,101.71,7.6,2057.0,-3.2,4.32,4.38
1653.5,86.46,2.5,2032.0,-6.6,4.38,4.55
1658.6,153.71,0.0,2057.0,-6.2,4.55,4.4
1661.2,160.83,0.0,2032.0,-5.7,4.4,4.23
1663.7,189.62,0.0,2032.0,-3.2,4.23,4.17
1684.0,89.96,2.5,2032.0,-2.7,4.17,4.22
1694.2,120.38,0.0,2032.0,-3.8,4.22,4.45
1696.7,155.92,0.0,2007.0,-3.6,4.45,4.22
1694.2,135.96,0.0,2032.0,-2.2,4.22,4.13
1699.3,182.75,0.0,2007.0,0.8,4.13,4.03
1696.7,187.79,0.0,1981.0,4.2,4.03,4.1
1691.6,205.5,0.0,1956.0,6.3,4.1,4.59
1684.0,224.17,0.0,1956.0,8.2,4.59,5.48
1678.9,226.5,0.0,1930.0,9.5,5.48,6.12
1666.2,228.08,0.0,1930.0,10.1,6.12,8.41
1668.8,221.0,0.0,1905.0,7.6,8.41,13.67
1666.2,168.79,0.0,1880.0,2.4,13.67,14.09
1668.8,199.46,0.0,1854.0,1.5,14.09,14.04
1668.8,152.33,0.0,1829.0,1.2,14.04,13.75
1676.4,161.88,0.0,1803.0,2.3,13.75,12.47
1706.9,186.67,10.2,1854.0,-1.2,12.47,13.57
1717.0,230.83,0.0,1829.0,1.6,13.57,12.59
1714.5,186.0,0.0,1803.0,2.5,12.59,10.89
1712.0,175.38,0.0,1803.0,3.5,10.89,10.1
1712.0,213.75,0.0,1803.0,4.3,10.1,10.0
1709.4,238.79,0.0,1778.0,4.4,10.0,10.85
1706.9,253.83,0.0,1753.0,5.5,10.85,12.06
1696.7,239.33,0.0,1753.0,5.5,12.06,13.18
1732.3,157.5,7.6,1727.0,1.3,13.18,15.1
1729.7,248.42,0.0,1727.0,2.9,15.1,19.75
1737.4,169.12,5.1,1676.0,1.4,19.75,19.0
1750.1,111.46,15.2,1727.0,-1.4,19.0,19.45
1767.8,217.58,0.0,1727.0,-0.5,19.45,16.34
