WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
482.6,69.61,0.0,1346.0,-0.6,4.56,4.56
485.1,39.75,0.0,1346.0,1.9,4.56,4.09
502.9,28.46,35.6,1219.0,1.6,4.09,3.64
508.0,33.46,15.2,1321.0,1.2,3.64,3.37
510.5,41.88,5.1,1321.0,2.4,3.37,3.26
551.2,35.92,38.1,1575.0,-1.9,3.26,3.15
558.8,40.67,7.6,1600.0,-2.8,3.15,3.01
571.5,26.08,7.6,1575.0,0.9,3.01,2.91
596.9,32.17,45.7,1549.0,1.9,2.91,3.13
586.7,43.92,35.6,1524.0,3.0,3.13,3.55
581.7,37.58,0.0,1499.0,5.2,3.55,3.76
581.7,80.54,0.0,1499.0,4.6,3.76,3.62
579.1,91.83,0.0,1473.0,7.2,3.62,3.34
574.0,91.25,0.0,1473.0,6.0,3.34,3.09
574.0,53.58,2.5,1448.0,0.8,3.09,2.93
589.3,43.08,5.1,1499.0,0.7,2.93,2.81
640.1,24.33,50.8,1651.0,1.1,2.81,3.03
698.5,18.75,53.3,1727.0,0.6,3.03,3.61
690.9,49.75,0.0,1727.0,1.3,3.61,6.76
690.9,20.17,0.0,1753.0,-0.5,6.76,10.71
690.9,22.08,2.5,1702.0,-2.7,10.71,7.82
731.5,18.92,35.6,1829.0,-0.6,7.82,5.82
741.7,21.46,22.9,1778.0,2.3,5.82,9.56
731.5,47.12,0.0,1778.0,1.3,9.56,11.68
731.5,47.79,0.0,1778.0,6.5,11.68,8.58
729.0,29.67,0.0,1727.0,9.9,8.58,6.16
729.0,25.79,0.0,1753.0,8.8,6.16,5.1
723.9,60.08,0.0,1727.0,4.0,5.1,4.53
721.4,52.04,0.0,1727.0,3.4,4.53,4.32
726.4,28.88,0.0,1727.0,6.8,4.32,3.97
726.4,43.67,0.0,1727.0,7.8,3.97,3.72
764.5,18.42,48.3,1702.0,3.3,3.72,3.53
739.1,19.0,0.0,1702.0,2.5,3.53,3.53
746.8,17.17,20.3,1803.0,-2.1,3.53,4.79
751.8,42.38,5.1,1854.0,-4.3,4.79,5.71
749.3,95.42,0.0,1854.0,-7.0,5.71,5.36
749.3,100.71,0.0,1829.0,-8.4,5.36,4.97
751.8,113.42,2.5,1803.0,-4.9,4.97,4.4
764.5,70.83,15.2,1930.0,-4.9,4.4,4.11
800.1,79.33,35.6,2235.0,-6.5,4.11,3.92
838.2,58.38,38.1,2438.0,-7.9,3.92,3.7
919.5,52.17,81.3,2870.0,-2.8,3.7,3.51
1000.8,52.62,81.3,3226.0,-1.8,3.51,3.33
1005.8,133.04,0.0,3124.0,-1.6,3.33,3.37
1041.4,55.42,15.2,3277.0,-1.3,3.37,3.27
1082.0,60.75,33.0,3404.0,-1.4,3.27,3.34
1097.3,82.54,12.7,3404.0,-2.0,3.34,3.31
1099.8,134.29,0.0,3353.0,-4.4,3.31,3.33
1104.9,76.67,0.0,3277.0,-4.5,3.33,3.23
1135.4,75.67,30.5,3505.0,-2.7,3.23,3.18
1145.5,123.67,10.2,3454.0,-3.2,3.18,3.3
1148.1,147.92,0.0,3378.0,-4.2,3.3,3.1
1168.4,65.12,20.3,3454.0,-4.3,3.1,3.01
1178.6,72.62,10.2,3505.0,-3.0,3.01,2.99
1191.3,59.67,12.7,3480.0,-3.4,2.99,2.96
1204.0,108.25,7.6,3531.0,-5.9,2.96,2.93
1204.0,150.75,0.0,3505.0,-8.0,2.93,2.85
1198.9,96.17,0.0,3378.0,-5.8,2.85,2.81
1201.4,143.04,0.0,3378.0,-4.3,2.81,2.75
1201.4,163.81,0.0,3340.0,-3.45,2.75,2.72
1201.4,184.58,0.0,3302.0,-2.6,2.72,2.69
1193.8,195.25,0.0,3277.0,-5.7,2.69,2.65
1191.3,196.96,0.0,3251.0,-6.9,2.65,2.61
1188.7,195.33,0.0,3226.0,-3.3,2.61,2.54
1193.8,112.46,5.1,3277.0,-2.1,2.54,2.62
1209.0,91.42,15.2,3353.0,-3.9,2.62,2.65
1214.1,99.88,5.1,3454.0,-4.8,2.65,2.62
1211.6,199.33,0.0,3404.0,-4.5,2.62,2.63
1211.6,210.71,0.0,3378.0,-1.4,2.63,2.64
1214.1,189.75,2.5,3378.0,0.6,2.64,2.66
1254.8,117.62,40.6,3607.0,-2.1,2.66,3.17
1259.8,162.71,5.1,3556.0,-1.1,3.17,3.4
1259.8,187.0,0.0,3505.0,1.3,3.4,3.66
1262.4,206.04,0.0,3454.0,4.7,3.66,4.13
1264.9,189.08,0.0,3429.0,6.3,4.13,4.88
1270.0,217.21,0.0,3378.0,8.1,4.88,5.52
1277.6,234.17,0.0,3302.0,7.6,5.52,6.37
