WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
391.2,52.83,0.0,1295.0,-5.9,28.71,28.71
391.2,48.42,0.0,1245.0,-2.4,28.71,23.85
396.2,21.79,5.1,1245.0,-3.4,23.85,20.33
396.2,28.58,0.0,1245.0,-0.8,20.33,17.47
396.2,39.71,0.0,1219.0,0.0,17.47,16.12
406.4,45.33,10.2,1321.0,-1.9,16.12,15.16
414.0,52.42,2.5,1346.0,-5.4,15.16,14.45
429.3,24.17,12.7,1346.0,-1.7,14.45,13.6
426.7,40.25,5.1,1270.0,2.3,13.6,14.02
424.2,76.08,0.0,1245.0,1.5,14.02,15.23
426.7,74.17,0.0,1245.0,1.5,15.23,16.57
429.3,84.04,0.0,1270.0,2.2,16.57,16.86
429.3,96.92,0.0,1245.0,4.8,16.86,16.1
429.3,95.46,0.0,1219.0,3.3,16.1,14.9
429.3,41.71,0.0,1219.0,-1.0,14.9,14.03
431.8,40.88,2.5,1219.0,-0.6,14.03,13.28
449.6,48.08,17.8,1397.0,0.8,13.28,13.32
462.3,40.42,7.6,1448.0,-1.3,13.32,14.66
482.6,27.42,17.8,1448.0,0.6,14.66,17.38
490.2,30.46,7.6,1499.0,-2.0,17.38,33.36
490.2,73.92,0.0,1473.0,-5.3,33.36,41.1
515.6,29.79,20.3,1626.0,-3.5,41.1,35.01
538.5,47.33,22.9,1651.0,-0.3,35.01,38.99
541.0,58.54,2.5,1626.0,-0.7,38.99,57.74
538.5,98.08,0.0,1600.0,0.6,57.74,54.09
538.5,97.21,0.0,1575.0,5.5,54.09,44.06
535.9,94.25,0.0,1575.0,4.1,44.06,36.93
535.9,109.46,0.0,1549.0,-1.3,36.93,32.08
533.4,118.12,0.0,1524.0,-0.9,32.08,28.57
530.9,108.79,0.0,1524.0,1.7,28.57,25.87
530.9,100.54,0.0,1524.0,3.9,25.87,23.35
535.9,29.62,5.1,1524.0,1.8,23.35,21.47
546.1,56.88,10.2,1499.0,2.1,21.47,21.72
571.5,24.71,22.9,1702.0,-1.3,21.72,23.88
574.0,39.54,2.5,1676.0,-3.3,23.88,37.46
574.0,39.62,0.0,1651.0,-9.0,37.46,37.11
574.0,131.42,0.0,1676.0,-14.0,37.11,32.99
571.5,135.83,0.0,1651.0,-9.3,32.99,27.56
571.5,95.25,2.5,1651.0,-8.2,27.56,26.06
571.5,58.29,2.5,1651.0,-5.5,26.06,26.05
586.7,75.54,10.2,1905.0,-10.2,26.05,23.82
614.7,60.92,27.9,2032.0,-4.8,23.82,22.28
632.5,54.0,12.7,2032.0,-3.7,22.28,21.22
652.8,68.67,22.9,2210.0,-2.8,21.22,21.95
652.8,58.0,2.5,2159.0,-0.6,21.95,22.0
665.5,54.33,7.6,2210.0,-3.2,22.0,21.2
